60,Buy,6/1/15 16:00, Buy ,@CL,$69.53 ,$0.00 ,1,$699.62 ,1.04%,"$1,380.00 ",92.62%,,$0.19 ,$10.00 
,Sell,6/2/15 21:00,Exit Long,@CL,$70.25 ,,$720.00 ,"$25,897.20 ",,($110.00),55.70%,48.32%,$0.19 ,$10.00 
61,Sell Short,6/4/15 10:00, Sell ,@CL,$68.58 ,$0.00 ,1,$879.62 ,1.31%,"$1,990.00 ",97.55%,,$0.19 ,$10.00 
,Buy to Cover,6/5/15 9:00,Exit Short,@CL,$67.68 ,,$900.00 ,"$26,776.82 ",,($50.00),46.57%,44.12%,$0.19 ,$10.00 
62,Buy,6/9/15 6:00, Buy ,@CL,$68.18 ,$0.00 ,1,"$1,709.62 ",2.54%,"$2,970.00 ",96.12%,,$0.19 ,$10.00 
,Sell,6/10/15 13:00,Exit Long,@CL,$69.91 ,,"$1,730.00 ","$28,486.44 ",,($120.00),59.87%,55.99%,$0.19 ,$10.00 
63,Sell Short,7/8/15 12:00, Sell ,@CL,$60.60 ,$0.00 ,1,($200.38),-0.30%,$770.00 ,77.78%,,$0.19 ,$10.00 
,Buy to Cover,7/8/15 17:00,Exit Short,@CL,$60.78 ,,($180.00),"$28,286.06 ",,($220.00),4.04%,-18.18%,$0.19 ,$10.00 
64,Sell Short,7/20/15 11:00, Sell ,@CL,$59.23 ,$0.00 ,1,$9.62 ,0.05%,$550.00 ,55.00%,,$0.19 ,$10.00 
,Buy to Cover,7/21/15 10:00,Exit Short,@CL,$59.20 ,,$30.00 ,"$28,295.68 ",,($450.00),48.00%,3.00%,$0.19 ,$10.00 
65,Buy,8/5/15 10:00, Buy ,@CL,$54.89 ,$0.00 ,1,($400.38),-0.69%,$410.00 ,51.90%,,$0.19 ,$10.00 
,Sell,8/5/15 11:00,Stop Loss,@CL,$54.51 ,,($380.00),"$27,895.30 ",,($380.00),0.00%,-48.10%,$0.19 ,$10.00 
66,Sell Short,8/13/15 10:00, Sell ,@CL,$51.43 ,$0.00 ,1,$439.62 ,0.89%,"$1,480.00 ",90.80%,,$0.19 ,$10.00 
,Buy to Cover,8/14/15 9:00,Exit Short,@CL,$50.97 ,,$460.00 ,"$28,334.92 ",,($150.00),37.42%,28.22%,$0.19 ,$10.00 
67,Sell Short,8/20/15 17:00, Sell ,@CL,$48.89 ,$0.00 ,1,($350.38),-0.67%,$180.00 ,26.87%,,$0.19 ,$10.00 
,Buy to Cover,8/21/15 6:00,Exit Short,@CL,$49.22 ,,($330.00),"$27,984.54 ",,($490.00),23.88%,-49.25%,$0.19 ,$10.00 
68,Sell Short,8/21/15 10:00, Sell ,@CL,$48.81 ,$0.00 ,1,($380.38),-0.74%,$0.00 ,0.00%,,$0.19 ,$10.00 
